# File generated by CMD 2.7 (http://stev.oapd.inaf.it/cmd) on Thu Dec  4 10:41:32 CET 2014
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014), MNRAS, 444, 2525 + Tang et al. (2014), MNRAS, 445, 4287
# Warning: the TP-AGB phase is not included! TP-AGB tracks are in preparation by Marigo et al.
# Photometric system: IPHAS
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.02259	Y = 0.28941	[M/H] = 0.201	eta_R = 0.200	Age = 	1.0000e+06 yr
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    gR      gI      Ha	int_IMF
	0.022590	6.0000	1.20000005	1.2000	0.4500	3.6659	3.6828	3.645	3.558	3.000	3.245	3.18585706
	0.022590	6.0000	1.25000000	1.2500	0.4777	3.6688	3.6842	3.576	3.476	2.928	3.166	3.19470429
	0.022590	6.0000	1.26057148	1.2606	0.4831	3.6693	3.6848	3.562	3.460	2.913	3.150	3.19647813
	0.022590	6.0000	1.29999995	1.3000	0.5055	3.6715	3.6843	3.506	3.396	2.855	3.088	3.20280719
	0.022590	6.0000	1.35000002	1.3500	0.5309	3.6740	3.6854	3.443	3.323	2.789	3.017	3.21023273
	0.022590	6.0000	1.37797880	1.3780	0.5443	3.6754	3.6864	3.409	3.284	2.755	2.980	3.21412206
	0.022590	6.0000	1.39999998	1.4000	0.5560	3.6764	3.6859	3.380	3.251	2.724	2.948	3.21705914
	0.022590	6.0000	1.45000005	1.4500	0.5789	3.6787	3.6874	3.323	3.185	2.665	2.884	3.22335362
	0.022590	6.0000	1.46110213	1.4611	0.5837	3.6792	3.6879	3.311	3.172	2.653	2.871	3.22468519
	0.022590	6.0000	1.50000000	1.5000	0.6027	3.6809	3.6871	3.263	3.118	2.604	2.819	3.22917390
	0.022590	6.0000	1.54999995	1.5500	0.6250	3.6830	3.6873	3.208	3.056	2.547	2.759	3.23456979
	0.022590	6.0000	1.60000002	1.6000	0.6468	3.6850	3.6873	3.153	2.995	2.491	2.700	3.23958373
	0.022590	6.0000	1.64999998	1.6500	0.6681	3.6869	3.6869	3.100	2.936	2.436	2.642	3.24424219
	0.022590	6.0000	1.67499995	1.6750	0.6776	3.6878	3.6877	3.076	2.910	2.412	2.617	3.24644756
	0.022590	6.0000	1.70000005	1.7000	0.6874	3.6887	3.6879	3.051	2.882	2.386	2.590	3.24857616
	0.022590	6.0000	1.70930326	1.7093	0.6916	3.6891	3.6875	3.041	2.871	2.376	2.579	3.24934936
	0.022590	6.0000	1.72500002	1.7250	0.6988	3.6896	3.6864	3.023	2.851	2.357	2.559	3.25063133
	0.022590	6.0000	1.75000000	1.7500	0.7079	3.6905	3.6871	3.000	2.825	2.334	2.535	3.25261688
	0.022590	6.0000	1.77289224	1.7729	0.7166	3.6913	3.6872	2.979	2.802	2.312	2.512	3.25437665
	0.022590	6.0000	1.77499998	1.7750	0.7174	3.6914	3.6872	2.976	2.799	2.310	2.510	3.25453615
